Weather Type,Temperature,Start_destination,End_destination,Total Distance,Ticket Cost,Airlines Name
Cloudy,33,Kenai Municipal Airport,Benjamín Rivera Noriega Airport,805,395,American Airlines
Sunny,37,Syracuse Hancock International Airport,Blue Grass Airport,767,333,Silver Airways
Sunny,39,Barkley Regional Airport,Bellingham International Airport,762,350,American Airlines
Rainy,29,Golden Triangle Regional Airport,Deadhorse Airport (Prudhoe Bay Airport),896,276,Endeavor Air
Windy,18,Juneau International Airport,Birmingham - Shuttlesworth International Airport,842,223,Envoy Air
Snow Fall,3,Salisbury - Ocean City - Wicomico Regional Airport,Evansville Regional Airport,688,250,Spirit Airlines
Sunny,36,Golden Triangle Regional Airport,Watertown Regional Airport,801,347,Envoy Air
Sunny,38,Dubuque Regional Airport,Kansas City International Airport (was Mid-Continent International),879,297,Silver Airways
Snow Fall,-6,Tri-Cities Airport,Pellston Regional/Emmet County Airport,510,274,Hawaiian Airlines
Sunny,35,Merrill Field,Greater Binghamton Airport (Edwin A. Link Field),769,328,Cape Air
Cloudy,30,Albany International Airport,Bradley International Airport,504,362,JetBlue
Windy,15,Hartsfield - Jackson Atlanta International Airport,Central Illinois Regional Airport at Bloomington-Normal,699,309,Eastern Airlines
Cloudy,32,Lynchburg Regional Airport (Preston Glenn Field),Rick Husband Amarillo International Airport,590,376,Breeze Airways
Rainy,29,Laredo International Airport,Seattle - Tacoma International Airport,527,319,Alaska Airlines
Windy,15,MidAmerica St. Louis Airport / Scott Air Force Base,Palm Beach International Airport,815,248,Elite Airways
Sunny,37,Great Falls International Airport,Joplin Regional Airport,868,327,Eastern Airlines
Sunny,39,Denver International Airport,Lafayette Regional Airport (Paul Fournet Field),658,281,Alaska Airlines
Sunny,36,Erie International Airport (Tom Ridge Field),Rapid City Regional Airport,465,125,American Airlines
Windy,24,Mahlon Sweet Field,Hilton Head Airport,819,219,Piedmont Airlines
Rainy,25,Benjamín Rivera Noriega Airport,Myrtle Beach International Airport,871,395,GoJet Airlines
Sunny,38,Eagle County Regional Airport,Fort Wayne International Airport,401,132,Avelo Airlines
Windy,18,Lafayette Regional Airport (Paul Fournet Field),Niagara Falls International Airport,954,364,Endeavor Air
Snow Fall,-8,John Wayne Airport (was Orange County Airport),Friday Harbor Airport,989,279,JetBlue
Rainy,29,Abraham Lincoln Capital Airport,Fresno Yosemite International Airport,692,264,Elite Airways
Windy,17,Ralph Wien Memorial Airport,Coastal Carolina Regional Airport (was Craven County Regional),599,330,CommutAir
Cloudy,31,University of Illinois - Willard Airport,Bismarck Municipal Airport,890,326,GoJet Airlines
Sunny,36,Salina Regional Airport,University of Illinois - Willard Airport,921,256,Spirit Airlines
Rainy,29,McAllen Miller International Airport,Abilene Regional Airport,878,394,Avelo Airlines
Snow Fall,2,Salt Lake City International Airport,Raleigh - Durham International Airport,800,249,CommutAir
Snow Fall,1,South Bend International Airport,Yuma International Airport / MCAS Yuma,361,130,Piedmont Airlines
Snow Fall,-7,Philadelphia International Airport,Ogdensburg International Airport,955,371,SkyWest Airlines
Snow Fall,-2,Tucson International Airport,Boise Airport (Boise Air Terminal) (Gowen Field),693,317,Mesa Airlines
Rainy,27,Palm Springs International Airport,Bradley International Airport,357,126,Mesa Airlines
Rainy,25,Western Nebraska Regional Airport (William B. Heilig Field),Eagle County Regional Airport,582,271,Spirit Airlines
Rainy,27,Eugene F. Kranz Toledo Express Airport,Bangor International Airport,717,338,Spirit Airlines
Sunny,36,Monroe Regional Airport,Flagstaff Pulliam Airport,829,331,SkyWest Airlines
Cloudy,33,Yakima Air Terminal (McAllister Field),New York Stewart International Airport,836,331,Delta Air Lines
Sunny,35,Friday Harbor Airport,Yakima Air Terminal (McAllister Field),768,239,Sun Country Airlines
Rainy,30,Fort Lauderdale - Hollywood International Airport,Spokane International Airport (Geiger Field),742,329,PSA Airlines
Rainy,25,Punta Gorda Airport,Chippewa Valley Regional Airport,750,288,Envoy Air
Windy,15,East Texas Regional Airport,Gulfport - Biloxi International Airport,379,181,Piedmont Airlines
Rainy,30,Los Angeles International Airport,Minneapolis - St. Paul International/Wold-Chamberlain Airport,442,159,Elite Airways
Snow Fall,-4,Laramie Regional Airport,Atlantic City International Airport,917,380,Frontier Airlines
Rainy,27,Orlando International Airport,John F. Kennedy International Airport (was New York International Airport),710,213,Republic Airways
Windy,20,Waynesville-St. Robert Regional Airport (Forney Field),Yellowstone Regional Airport,393,115,Silver Airways
Sunny,36,Laredo International Airport,San Angelo Regional Airport (Mathis Field),756,310,Breeze Airways
Sunny,35,Yakutat Airport (also see Yakutat Seaplane Base),Cherry Capital Airport (was Cherry County Airpark),627,306,Elite Airways
Snow Fall,-7,Ford Airport,Yakutat Airport (also see Yakutat Seaplane Base),625,226,Cape Air
Rainy,25,MidAmerica St. Louis Airport / Scott Air Force Base,Orcas Island Airport,584,331,Avelo Airlines
Windy,19,Harry Reid International Airport,Hays Regional Airport,752,388,Hawaiian Airlines
Cloudy,35,Flagstaff Pulliam Airport,Jackson Hole Airport,329,128,Horizon Air
Snow Fall,-3,Petersburg James A. Johnson Airport,Montrose Regional Airport,816,203,Republic Airways
Sunny,36,Magic Valley Regional Airport (Joslin Field),Nantucket Memorial Airport,971,284,American Airlines
Rainy,29,Gillette - Campbell County Airport,Portland International Jetport,423,176,SkyWest Airlines
Sunny,36,Unalaska Airport (Tom Madsen/Dutch Harbor Airport),Yellowstone Regional Airport,687,262,Frontier Airlines
Sunny,38,Rhode Island T. F. Green International Airport,Jack Brooks Regional Airport (was Southeast Texas Regional),757,360,Frontier Airlines
Rainy,27,Easterwood Field,Cape Cod Gateway Airport (Boardman/Polando Field),479,199,Piedmont Airlines
Snow Fall,2,Dane County Regional Airport (Truax Field),John F. Kennedy International Airport (was New York International Airport),501,241,SkyWest Airlines
Cloudy,34,Great Falls International Airport,Lake Charles Regional Airport,865,293,Alaska Airlines
Windy,20,George Bush Intercontinental/Houston Airport,Portland International Jetport,718,284,Eastern Airlines
Cloudy,33,Tinian International Airport (West Tinian),Tallahassee International Airport,427,159,American Airlines
Sunny,35,Atlantic City International Airport,Denver International Airport,938,384,Delta Air Lines
Windy,21,Austin - Bergstrom International Airport,Lewiston - Nez Perce County Airport,985,316,Cape Air
Rainy,28,Unalaska Airport (Tom Madsen/Dutch Harbor Airport),Yellowstone Regional Airport,395,128,Piedmont Airlines
Sunny,37,San Francisco International Airport,Westerly State Airport,688,399,Piedmont Airlines
Rainy,25,Columbia Regional Airport,Rafael Hernández Airport,441,127,Horizon Air
Sunny,37,Tri-State Airport (Milton J. Ferguson Field),Joe Foss Field,507,309,Endeavor Air
Sunny,38,San Angelo Regional Airport (Mathis Field),Western Nebraska Regional Airport (William B. Heilig Field),928,390,Allegiant Air
Rainy,26,Springfield - Branson National Airport,St. Cloud Regional Airport,948,350,Contour Airlines
Cloudy,34,Akron-Canton Regional Airport,Bismarck Municipal Airport,790,245,Air Wisconsin
Cloudy,34,José Aponte de la Torre Airport,Fort Lauderdale - Hollywood International Airport,855,331,PSA Airlines
Sunny,38,Bert Mooney Airport,Aspen/Pitkin County Airport (Sardy Field),346,194,Delta Air Lines
Windy,15,Louisville International Airport (Standiford Field),Jamestown Regional Airport,583,244,Eastern Airlines
Cloudy,30,Grand Junction Regional Airport (Walker Field),Manhattan Regional Airport,404,168,Frontier Airlines
Rainy,30,San Diego International Airport (Lindbergh Field),Bismarck Municipal Airport,935,299,Contour Airlines
Windy,20,Muskegon County Airport,Pitt - Greenville Airport,522,220,Delta Air Lines
Sunny,36,Hollywood Burbank Airport (was Bob Hope Airport),Huntsville International Airport (Carl T. Jones Field),560,373,SkyWest Airlines
Rainy,29,Yeager Airport,Evansville Regional Airport,356,150,Cape Air
Sunny,38,Joplin Regional Airport,City of Colorado Springs Municipal Airport,330,173,Piedmont Airlines
Snow Fall,2,Minot International Airport,Greenbrier Valley Airport,985,356,SkyWest Airlines
Sunny,35,Austin - Bergstrom International Airport,Kenai Municipal Airport,960,321,American Airlines
Rainy,26,Blue Grass Airport,Luis Muñoz Marín International Airport,339,132,Cape Air
Cloudy,35,Hollywood Burbank Airport (was Bob Hope Airport),Rick Husband Amarillo International Airport,802,348,Mesa Airlines
Sunny,35,Bemidji Regional Airport,Rick Husband Amarillo International Airport,896,203,Southwest Airlines
Sunny,35,Denver International Airport,Memphis International Airport,804,390,Delta Air Lines
Snow Fall,-7,Martha's Vineyard Airport,Harry Reid International Airport,503,243,Southwest Airlines
Snow Fall,-1,Ted Stevens Anchorage International Airport,San Angelo Regional Airport (Mathis Field),925,334,Sun Country Airlines
Cloudy,32,Lynchburg Regional Airport (Preston Glenn Field),Brainerd Lakes Regional Airport,844,331,Piedmont Airlines
Windy,25,Huntsville International Airport (Carl T. Jones Field),Santa Fe Municipal Airport,652,359,Avelo Airlines
Sunny,36,Jackson Hole Airport,Columbia Regional Airport,700,307,Cape Air
Windy,15,Eastern Iowa Airport,Flagstaff Pulliam Airport,481,191,CommutAir
Rainy,28,Indianapolis International Airport,Bozeman Yellowstone International Airport (was Gallatin Field),921,292,Endeavor Air
Rainy,26,Brunswick Golden Isles Airport,Chicago Midway International Airport,606,297,Elite Airways
Cloudy,32,Abilene Regional Airport,Bismarck Municipal Airport,592,243,SkyWest Airlines
Sunny,38,Tyler Pounds Regional Airport,San Angelo Regional Airport (Mathis Field),332,107,PSA Airlines
Windy,15,Chicago Rockford International Airport (was Northwest Chicagoland Regional Airport at Rockford),Trenton Mercer Airport,371,194,Piedmont Airlines
Windy,15,Aberdeen Regional Airport,Lynchburg Regional Airport (Preston Glenn Field),334,115,Allegiant Air
Sunny,35,Billings Logan International Airport,Gulfport - Biloxi International Airport,818,242,Republic Airways
Rainy,30,Chicago Rockford International Airport (was Northwest Chicagoland Regional Airport at Rockford),Louisville International Airport (Standiford Field),912,225,Delta Air Lines
Sunny,35,Western Nebraska Regional Airport (William B. Heilig Field),Richmond International Airport (Byrd Field),631,300,Frontier Airlines
Cloudy,35,El Paso International Airport,Eastern Iowa Airport,426,129,Frontier Airlines
Windy,15,Gulfport - Biloxi International Airport,Abilene Regional Airport,546,322,Piedmont Airlines
Rainy,30,Harry Reid International Airport,Atlantic City International Airport,817,226,American Airlines
Rainy,26,José Aponte de la Torre Airport,Cyril E. King Airport,435,118,CommutAir
Rainy,30,Redding Municipal Airport,Northwest Florida Beaches International Airport,431,103,United Airlines
Cloudy,34,San Angelo Regional Airport (Mathis Field),Monterey Regional Airport (was Monterey Peninsula Airport),695,273,GoJet Airlines
Rainy,29,Jackson - Medgar Wiley Evers International Airport,Shenandoah Valley Regional Airport,321,185,Endeavor Air
Rainy,30,Phoenix - Mesa Gateway Airport (formerly Williams AFB),Concord-Padgett Regional Airport,676,285,SkyWest Airlines
Rainy,29,Santa Maria Public Airport (Capt G. Allan Hancock Field),Sioux Gateway Airport (Brig. General Bud Day Field),806,288,Hawaiian Airlines
Windy,16,Oakland International Airport,Gustavus Airport,451,149,Delta Air Lines
Snow Fall,-1,Fairbanks International Airport,Barkley Regional Airport,895,279,Elite Airways
Cloudy,30,Henry E. Rohlsen Airport,Orcas Island Airport,874,388,Avelo Airlines
Windy,16,Killeen - Fort Hood Regional Airport / Robert Gray Army Airfield,Ithaca Tompkins International Airport,795,297,Frontier Airlines
Snow Fall,3,Unalaska Airport (Tom Madsen/Dutch Harbor Airport),Atlantic City International Airport,557,274,Frontier Airlines
Cloudy,31,Dallas Fort Worth International Airport,Luis Muñoz Marín International Airport,402,130,CommutAir
Snow Fall,-9,Cleveland Hopkins International Airport,Ronald Reagan Washington National Airport,865,270,Endeavor Air
Sunny,39,Seattle - Tacoma International Airport,Idaho Falls Regional Airport (Fanning Field),740,391,GoJet Airlines
Rainy,28,Boulder City Municipal Airport,Dothan Regional Airport,773,334,Breeze Airways
Windy,24,Northwest Florida Beaches International Airport,Evansville Regional Airport,417,160,Mesa Airlines
Sunny,37,Portsmouth International Airport at Pease,Worcester Regional Airport,640,238,Contour Airlines
Cloudy,35,Ogdensburg International Airport,Abraham Lincoln Capital Airport,435,125,Allegiant Air
Windy,16,Columbia Regional Airport,Grand Junction Regional Airport (Walker Field),328,133,Delta Air Lines
Windy,22,General Downing-Peoria International Airport,Grand Forks International Airport,930,211,Horizon Air
Cloudy,35,Santa Maria Public Airport (Capt G. Allan Hancock Field),Knox County Regional Airport,970,217,Republic Airways
Rainy,29,Lehigh Valley International Airport (was Allentown - Bethlehem - Easton International Airport),Gen. Edward Lawrence Logan International Airport,637,229,PSA Airlines
Cloudy,35,Kenai Municipal Airport,Western Nebraska Regional Airport (William B. Heilig Field),394,168,Southwest Airlines
Rainy,30,Tampa International Airport,Rhinelander - Oneida County Airport,311,154,Hawaiian Airlines
Windy,19,Charleston International Airport / Charleston AFB,Friday Harbor Airport,655,299,Republic Airways
Cloudy,30,Page Municipal Airport,Rhode Island T. F. Green International Airport,622,220,GoJet Airlines
Windy,17,Bethel Airport (also see Bethel Seaplane Base),Branson Airport,972,264,Air Wisconsin
Rainy,25,Dane County Regional Airport (Truax Field),Louis Armstrong New Orleans International Airport,386,154,Spirit Airlines
Rainy,25,Oakland International Airport,Quad City International Airport,663,369,GoJet Airlines
Sunny,39,City of Colorado Springs Municipal Airport,Harry Reid International Airport,755,314,Contour Airlines
Sunny,39,John Wayne Airport (was Orange County Airport),Charleston International Airport / Charleston AFB,364,144,Delta Air Lines
Sunny,35,Antonio B. Won Pat International Airport,Eppley Airfield,921,338,Breeze Airways
Cloudy,34,Greater Binghamton Airport (Edwin A. Link Field),Gerald R. Ford International Airport,883,260,Alaska Airlines
Rainy,26,Homer Airport,Albuquerque International Sunport,475,154,Mesa Airlines
Sunny,35,Barkley Regional Airport,Augusta Regional Airport (Bush Field),372,162,Sun Country Airlines
Rainy,28,Grand Junction Regional Airport (Walker Field),Asheville Regional Airport,567,280,American Airlines
Sunny,37,Akron-Canton Regional Airport,Southwest Oregon Regional Airport (was North Bend Municipal),529,399,Southwest Airlines
Cloudy,31,Abraham Lincoln Capital Airport,Minot International Airport,404,178,Envoy Air
Sunny,35,St. Pete - Clearwater International Airport,Billings Logan International Airport,855,221,Breeze Airways
Windy,16,Killeen - Fort Hood Regional Airport / Robert Gray Army Airfield,Rochester International Airport,708,215,Endeavor Air
Rainy,26,Pocatello Regional Airport,Page Municipal Airport,842,259,Breeze Airways
Cloudy,35,Range Regional Airport (was Chisholm - Hibbing Airport),Tucson International Airport,858,258,Avelo Airlines
Cloudy,33,Central Wyoming Regional Airport (was Riverton Regional),Shenandoah Valley Regional Airport,691,292,Breeze Airways
Rainy,26,Montrose Regional Airport,Hilton Head Airport,657,347,Avelo Airlines
Sunny,37,Aberdeen Regional Airport,Alpena County Regional Airport,826,359,Mesa Airlines
Rainy,29,Ralph Wien Memorial Airport,Block Island State Airport,407,145,Frontier Airlines
Sunny,39,Merrill Field,Cleveland Hopkins International Airport,662,317,Spirit Airlines
Windy,18,Lovell Field,Chicago Rockford International Airport (was Northwest Chicagoland Regional Airport at Rockford),816,381,Contour Airlines
Rainy,25,Delta County Airport,Redding Municipal Airport,926,399,GoJet Airlines
Windy,25,Orcas Island Airport,Merrill Field,497,108,Mesa Airlines
Snow Fall,-3,Brainerd Lakes Regional Airport,Ronald Reagan Washington National Airport,944,245,Spirit Airlines
Snow Fall,-8,Ogdensburg International Airport,Worcester Regional Airport,631,231,JetBlue
Windy,15,Portland International Airport,Northwest Florida Beaches International Airport,911,263,Horizon Air
Snow Fall,0,Raleigh - Durham International Airport,Hagerstown Regional Airport (Richard A. Henson Field),667,231,Hawaiian Airlines
Snow Fall,-1,Jacksonville International Airport,Rafael Hernández Airport,378,178,Frontier Airlines
Rainy,28,Cleveland Hopkins International Airport,Montrose Regional Airport,378,124,Southwest Airlines
Snow Fall,-8,Kalamazoo/Battle Creek International Airport,Homer Airport,401,194,Spirit Airlines
Sunny,39,Ogden-Hinckley Airport,Del Rio International Airport,532,225,American Airlines
Sunny,38,Yampa Valley Airport (Yampa Valley Regional),Valley International Airport,709,370,United Airlines
Snow Fall,-5,Gustavus Airport,King County International Airport (Boeing Field),506,200,PSA Airlines
Rainy,27,El Paso International Airport,Northwest Florida Beaches International Airport,374,182,Cape Air
Cloudy,30,Minneapolis - St. Paul International/Wold-Chamberlain Airport,Southwest Oregon Regional Airport (was North Bend Municipal),850,397,Frontier Airlines
Windy,22,General Downing-Peoria International Airport,East Texas Regional Airport,606,396,Frontier Airlines
Snow Fall,-4,Bismarck Municipal Airport,Kearney Regional Airport (was Kearney Municipal),982,394,American Airlines
Cloudy,31,Petersburg James A. Johnson Airport,Concord-Padgett Regional Airport,481,123,American Airlines
Cloudy,30,University Park Airport,Laramie Regional Airport,543,265,Southwest Airlines
Sunny,37,King Salmon Airport,Plattsburgh International Airport,758,358,United Airlines
Snow Fall,0,Mobile Regional Airport,Oakland International Airport,436,184,SkyWest Airlines
Snow Fall,-1,Eagle County Regional Airport,Yakutat Airport (also see Yakutat Seaplane Base),308,196,Envoy Air
Rainy,25,University Park Airport,Merrill Field,300,165,Allegiant Air
Snow Fall,-7,Brainerd Lakes Regional Airport,Golden Triangle Regional Airport,753,257,Eastern Airlines
Rainy,30,Wilkes-Barre/Scranton International Airport,Syracuse Hancock International Airport,903,260,CommutAir
Sunny,39,Tallahassee International Airport,Santa Barbara Municipal Airport (Santa Barbara Airport),358,199,Envoy Air
Snow Fall,2,Lincoln Airport (was Lincoln Municipal),Pensacola International Airport,649,360,GoJet Airlines
Cloudy,30,Louis Armstrong New Orleans International Airport,San Diego International Airport (Lindbergh Field),558,400,Allegiant Air
Cloudy,35,Lincoln Airport (was Lincoln Municipal),Washington Dulles International Airport,970,349,GoJet Airlines
Snow Fall,1,Norman Y. Mineta San José International Airport,Rick Husband Amarillo International Airport,419,180,American Airlines
Snow Fall,-5,Bert Mooney Airport,MidAmerica St. Louis Airport / Scott Air Force Base,391,102,Hawaiian Airlines
Rainy,30,Abilene Regional Airport,Monroe Regional Airport,753,342,Hawaiian Airlines
Rainy,25,Denver International Airport,Syracuse Hancock International Airport,527,346,SkyWest Airlines
Snow Fall,2,Worcester Regional Airport,Jamestown Regional Airport,401,113,Delta Air Lines
Cloudy,32,Tyler Pounds Regional Airport,Erie International Airport (Tom Ridge Field),990,347,Breeze Airways
Snow Fall,-6,Columbia Regional Airport,Fresno Yosemite International Airport,793,214,Republic Airways
Windy,25,Eppley Airfield,Wilmington International Airport,344,195,Frontier Airlines
Windy,15,Durango - La Plata County Airport,Asheville Regional Airport,889,203,Mesa Airlines
Cloudy,33,Lake Charles Regional Airport,Plattsburgh International Airport,400,128,Contour Airlines
Sunny,35,Tri-State Airport (Milton J. Ferguson Field),Nome Airport,853,398,CommutAir
Snow Fall,-7,Columbia Regional Airport,Bellingham International Airport,346,140,CommutAir
Snow Fall,-1,Louisville International Airport (Standiford Field),Frederick Douglass/Greater Rochester International Airport,970,223,JetBlue
Cloudy,31,Saipan International Airport (Francisco C. Ada),Walla Walla Regional Airport,743,342,Endeavor Air
Cloudy,35,North Platte Regional Airport (Lee Bird Field),Tupelo Regional Airport (C.D. Lemons Field),394,125,United Airlines
Snow Fall,-2,Shreveport Regional Airport,Wilmington International Airport,369,143,Hawaiian Airlines
Snow Fall,3,Plattsburgh International Airport,Antonio Rivera Rodríguez Airport,909,324,Contour Airlines
Cloudy,31,Minneapolis - St. Paul International/Wold-Chamberlain Airport,South Bend International Airport,363,132,United Airlines
Sunny,39,Shreveport Regional Airport,Knox County Regional Airport,652,251,Allegiant Air
Sunny,35,Sawyer International Airport,Bemidji Regional Airport,580,264,Horizon Air
Cloudy,33,Killeen - Fort Hood Regional Airport / Robert Gray Army Airfield,Yuma International Airport / MCAS Yuma,945,230,GoJet Airlines
Rainy,26,Salt Lake City International Airport,Wilmington International Airport,640,232,Breeze Airways
Windy,18,Elko Regional Airport (J.C. Harris Field),St. Cloud Regional Airport,872,378,PSA Airlines
Snow Fall,-5,Memphis International Airport,Tweed-New Haven Airport,434,138,Sun Country Airlines
Cloudy,30,San Angelo Regional Airport (Mathis Field),Friday Harbor Airport,944,259,Cape Air
Cloudy,30,Eastern Iowa Airport,Wilmington International Airport,498,171,SkyWest Airlines
Windy,23,Henry E. Rohlsen Airport,Prescott Municipal Airport (Ernest A. Love Field),756,337,Endeavor Air
Sunny,39,Knox County Regional Airport,Portland International Airport,371,152,Frontier Airlines
Rainy,26,Baltimore/Washington International Airport,Luis Muñoz Marín International Airport,740,303,Mesa Airlines
Windy,16,Albuquerque International Sunport,Wrangell Airport (also see Wrangell Seaplane Base),757,202,Elite Airways
Windy,18,Salt Lake City International Airport,Long Beach Airport (Daugherty Field),842,200,Mesa Airlines
Windy,23,Minneapolis - St. Paul International/Wold-Chamberlain Airport,Lewiston - Nez Perce County Airport,357,120,Breeze Airways
Windy,24,Wilkes-Barre/Scranton International Airport,Gillette - Campbell County Airport,759,316,Southwest Airlines
Snow Fall,0,Saipan International Airport (Francisco C. Ada),Waterloo Regional Airport,802,303,Republic Airways
Windy,16,Bradley International Airport,Rapid City Regional Airport,481,182,Cape Air
Sunny,36,McGhee Tyson Airport,Roanoke - Blacksburg Regional Airport (Woodrum Field),326,111,Contour Airlines
Sunny,38,Block Island State Airport,Lincoln Airport (was Lincoln Municipal),862,205,Allegiant Air
Snow Fall,3,Bradley International Airport,Quad City International Airport,383,197,Envoy Air
Cloudy,34,Rafael Hernández Airport,Yeager Airport,396,119,Air Wisconsin
Snow Fall,-5,Concord-Padgett Regional Airport,Key West International Airport,890,343,Cape Air
Rainy,28,Bangor International Airport,Sheridan County Airport,860,332,Contour Airlines
Rainy,29,Newport News/Williamsburg International Airport (Patrick Henry Field),South Bend International Airport,309,180,Spirit Airlines
Rainy,29,McAllen Miller International Airport,Albuquerque International Sunport,656,201,Mesa Airlines
Cloudy,32,Blue Grass Airport,Grand Forks International Airport,992,298,Sun Country Airlines
Sunny,37,Cyril E. King Airport,Portland International Airport,895,288,American Airlines
Windy,20,University Park Airport,Southwest Oregon Regional Airport (was North Bend Municipal),805,362,Eastern Airlines
Cloudy,34,Denver International Airport,Salt Lake City International Airport,716,223,JetBlue
Rainy,29,Muskegon County Airport,Page Municipal Airport,846,219,Southwest Airlines
Snow Fall,1,Wichita Dwight D. Eisenhower National Airport (was Wichita Mid-Continent Airport),Tampa International Airport,431,170,Elite Airways
Rainy,25,Hector International Airport,Elko Regional Airport (J.C. Harris Field),843,252,Delta Air Lines
Cloudy,33,Williston Basin International Airport,Martha's Vineyard Airport,437,174,Republic Airways
Cloudy,31,Owensboro - Daviess County Regional Airport,Fayetteville Regional Airport (Grannis Field),304,189,Eastern Airlines
Cloudy,31,Southwest Oregon Regional Airport (was North Bend Municipal),Harry Reid International Airport,322,169,Republic Airways
Windy,19,Rhinelander - Oneida County Airport,Grand Junction Regional Airport (Walker Field),630,278,Southwest Airlines
Cloudy,35,John Glenn Columbus International Airport,Merle K. (Mudhole) Smith Airport,955,236,American Airlines
Rainy,28,Lake Charles Regional Airport,La Crosse Regional Airport,954,309,Allegiant Air
Sunny,38,Central Wyoming Regional Airport (was Riverton Regional),Monterey Regional Airport (was Monterey Peninsula Airport),800,271,Air Wisconsin
Rainy,27,Waterloo Regional Airport,Charles M. Schulz - Sonoma County Airport,580,394,Hawaiian Airlines
Sunny,37,Bill and Hillary Clinton National Airport (Adams Field) (was Little Rock National),Roswell Air Center,891,236,Alaska Airlines
Rainy,27,Rochester International Airport,LaGuardia Airport (and Marine Air Terminal),946,284,Horizon Air
Snow Fall,1,East Texas Regional Airport,Brunswick Golden Isles Airport,972,230,Alaska Airlines
Cloudy,31,Phoenix Sky Harbor International Airport,Central Wisconsin Airport,775,392,Breeze Airways
Windy,21,Sheridan County Airport,Nome Airport,843,298,Air Wisconsin
Snow Fall,-3,Tallahassee International Airport,Redding Municipal Airport,713,330,Endeavor Air
Snow Fall,-2,Redding Municipal Airport,Ogdensburg International Airport,519,221,SkyWest Airlines
Cloudy,30,Charleston International Airport / Charleston AFB,Lea County Regional Airport,960,364,Delta Air Lines
Windy,15,Flagstaff Pulliam Airport,Page Municipal Airport,623,272,Avelo Airlines
Rainy,25,Gunnison - Crested Butte Regional Airport,Monterey Regional Airport (was Monterey Peninsula Airport),831,233,Allegiant Air
Windy,16,Dallas Love Field,Lihue Airport,980,256,Hawaiian Airlines
Cloudy,33,Yakutat Airport (also see Yakutat Seaplane Base),Asheville Regional Airport,840,265,American Airlines
Windy,25,Southwest Oregon Regional Airport (was North Bend Municipal),Pittsburgh International Airport,673,334,Eastern Airlines
Windy,20,Canyonlands Regional Airport,San Francisco International Airport,770,312,Sun Country Airlines
Sunny,37,Wilmington Airport,San Luis Obispo County Regional Airport (McChesney Field),975,283,Spirit Airlines
Rainy,28,Pierre Regional Airport,Mobile Regional Airport,526,226,American Airlines
Sunny,39,Stillwater Regional Airport,Lovell Field,747,366,Eastern Airlines
Sunny,36,Dallas Love Field,Lea County Regional Airport,328,111,Allegiant Air
Sunny,38,Greenville - Spartanburg International Airport (Roger Milliken Field),Shenandoah Valley Regional Airport,792,396,Endeavor Air
Rainy,25,Wilmington International Airport,Wichita Falls Municipal Airport / Sheppard Air Force Base,664,306,Alaska Airlines
Windy,22,Norfolk International Airport,Rickenbacker International Airport,522,367,Elite Airways
Cloudy,34,Palm Beach International Airport,Tri-Cities Airport,773,362,Contour Airlines
Rainy,27,Philadelphia International Airport,Hilton Head Airport,621,252,United Airlines
Snow Fall,-2,Sheridan County Airport,Lea County Regional Airport,853,367,SkyWest Airlines
Windy,24,Molokai Airport (Hoolehua Airport),Lawton - Fort Sill Regional Airport,998,226,Envoy Air
Cloudy,30,Bill and Hillary Clinton National Airport (Adams Field) (was Little Rock National),Pangborn Memorial Airport,832,357,Piedmont Airlines
